config:	0.0588514618575573	0.17760148644447327
time:1714865487.484227	freq:529.4333	ampl:0.115090415
time:1714865487.590701	freq:260.33322	ampl:0.2786563
time:1714865487.675527	freq:260.79117	ampl:0.2588778
time:1714865487.782443	freq:260.73907	ampl:0.26135793
time:1714865487.867548	freq:261.0446	ampl:0.27256778
time:1714865487.952538	freq:292.6666	ampl:0.4173477
time:1714865488.059843	freq:293.09027	ampl:0.3655507
time:1714865488.144868	freq:293.09055	ampl:0.3384245
time:1714865488.230401	freq:293.95523	ampl:0.29162836
time:1714865488.3371701	freq:328.92737	ampl:0.20110545
time:1714865488.4222488	freq:328.5986	ampl:0.20218694
time:1714865488.507796	freq:326.7475	ampl:0.22303528
time:1714865488.6142058	freq:349.13678	ampl:0.33494788
time:1714865488.699487	freq:348.26566	ampl:0.19318335
time:1714865488.784772	freq:348.51636	ampl:0.1336929
time:1714865488.891521	freq:391.79697	ampl:0.5176501
time:1714865488.9769568	freq:390.66437	ampl:0.5442734
time:1714865489.083571	freq:391.18457	ampl:0.32682753
time:1714865489.1689038	freq:390.23715	ampl:0.22978465
time:1714865489.254219	freq:438.97836	ampl:0.42361337
time:1714865489.3608809	freq:438.8995	ampl:0.40998352
time:1714865489.446188	freq:438.5609	ampl:0.33063257
time:1714865489.532182	freq:441.26877	ampl:0.28292105
time:1714865489.6384969	freq:493.78937	ampl:0.22507513
time:1714865489.723662	freq:491.26828	ampl:0.14125246
time:1714865489.80906	freq:496.4425	ampl:0.17062177
time:1714865489.9158158	freq:523.2436	ampl:0.20987679
time:1714865490.000931	freq:522.31024	ampl:0.21247958
time:1714865490.086504	freq:522.771	ampl:0.19065242
time:1714865490.19318	freq:580.9466	ampl:0.2540172
time:1714865490.2786999	freq:586.1713	ampl:0.17979313
time:1714865490.363553	freq:586.2192	ampl:0.13338582
time:1714865490.470305	freq:658.198	ampl:0.34449276
time:1714865490.5555449	freq:658.21387	ampl:0.41612402
time:1714865490.6622071	freq:657.0216	ampl:0.32318604
time:1714865490.7475429	freq:657.28174	ampl:0.24159189
time:1714865490.832921	freq:696.6072	ampl:0.18927583
time:1714865490.939515	freq:697.7631	ampl:0.17699446
time:1714865491.025137	freq:696.2971	ampl:0.18682744
time:1714865491.11026	freq:784.37885	ampl:0.20359176
time:1714865491.216938	freq:784.4952	ampl:0.122333765
time:1714865491.3024879	freq:96.00305	ampl:0.084584974
time:1714865491.387583	freq:878.35986	ampl:0.39504334
time:1714865491.494306	freq:879.6027	ampl:0.365816
time:1714865491.5794492	freq:880.47626	ampl:0.21924916
time:1714865491.664816	freq:985.6041	ampl:0.46415958
time:1714865491.771461	freq:989.67377	ampl:0.5427662
time:1714865491.856852	freq:987.0332	ampl:0.32718742
time:1714865491.942049	freq:1042.0446	ampl:0.32784563
time:1714865492.048979	freq:1046.1472	ampl:0.26013905
time:1714865492.134097	freq:1045.4685	ampl:0.18038775
time:1714865492.241047	freq:985.4014	ampl:0.34173995
time:1714865492.3259768	freq:987.2427	ampl:0.55118537
time:1714865492.4114609	freq:986.9731	ampl:0.34995592
time:1714865492.5184588	freq:987.2695	ampl:0.270663
time:1714865492.6036592	freq:879.8233	ampl:0.4865799
time:1714865492.688937	freq:879.24677	ampl:0.34197778
time:1714865492.796074	freq:880.0423	ampl:0.2795072
time:1714865492.8811069	freq:784.33026	ampl:0.24661885
time:1714865492.9666162	freq:784.5567	ampl:0.13500135
time:1714865493.0732322	freq:784.5567	ampl:0.14394824
time:1714865493.1591759	freq:689.5387	ampl:0.15667726
time:1714865493.2438622	freq:697.8223	ampl:0.13650076
time:1714865493.35061	freq:656.32825	ampl:0.16164143
time:1714865493.435408	freq:658.33466	ampl:0.42025048
time:1714865493.520726	freq:657.8718	ampl:0.37907538
time:1714865493.627639	freq:657.05255	ampl:0.26039895
time:1714865493.713049	freq:653.9954	ampl:0.22829612
time:1714865493.819831	freq:586.5231	ampl:0.15523726
time:1714865493.9047399	freq:586.8015	ampl:0.14054911
time:1714865493.9902759	freq:519.4374	ampl:0.22604334
time:1714865494.096945	freq:521.99	ampl:0.21300654
time:1714865494.1818318	freq:522.6254	ampl:0.18204378
time:1714865494.267621	freq:521.8868	ampl:0.1845076
time:1714865494.374176	freq:493.29153	ampl:0.27309933
time:1714865494.458427	freq:493.8162	ampl:0.20802292
time:1714865494.545237	freq:492.09583	ampl:0.18510967
time:1714865494.651616	freq:439.59677	ampl:0.47553673
time:1714865494.737033	freq:438.8437	ampl:0.4420841
time:1714865494.8221679	freq:439.02255	ampl:0.44256783
time:1714865494.928951	freq:390.21967	ampl:0.7006635
time:1714865495.014021	freq:390.21097	ampl:0.512205
time:1714865495.120965	freq:390.3811	ampl:0.34456328
time:1714865495.206115	freq:349.26395	ampl:0.40551704
time:1714865495.291448	freq:348.7375	ampl:0.2834053
time:1714865495.3981261	freq:347.7296	ampl:0.17521052
time:1714865495.483566	freq:698.75806	ampl:0.20262073
time:1714865495.569013	freq:328.602	ampl:0.21229973
time:1714865495.6759	freq:328.8611	ampl:0.22409962
time:1714865495.760888	freq:328.68326	ampl:0.20561013
time:1714865495.846024	freq:293.34012	ampl:0.27898815
time:1714865495.953011	freq:293.20853	ampl:0.280505
time:1714865496.038213	freq:293.0539	ampl:0.25425538
time:1714865496.123354	freq:293.33994	ampl:0.23007831
time:1714865496.2301579	freq:261.44714	ampl:0.21533261
time:1714865496.3156319	freq:260.46417	ampl:0.20314322
time:1714865496.40069	freq:260.92874	ampl:0.17092958
time:1714865496.5075068	freq:260.66876	ampl:0.17472902
time:1714865496.592702	freq:260.60614	ampl:0.15084586
time:1714865496.69947	freq:260.63663	ampl:0.1383014
time:1714865496.784755	freq:260.65628	ampl:0.13352251
time:1714865496.87009	freq:260.78796	ampl:0.11269922
time:1714865496.976983	freq:260.66827	ampl:0.11604685
time:1714865497.062079	freq:263.41898	ampl:0.103259936
time:1714865497.14766	freq:32.989704	ampl:0.06511165
