config:	0.0588514618575573	0.17760148644447327
time:1714865426.96238	freq:44.742558	ampl:0.12550075
time:1714865427.047504	freq:261.38522	ampl:0.22023469
time:1714865427.133078	freq:260.38596	ampl:0.23179235
time:1714865427.23965	freq:260.72034	ampl:0.20161252
time:1714865427.324866	freq:260.58603	ampl:0.19620198
time:1714865427.4103189	freq:260.76587	ampl:0.17967504
time:1714865427.516879	freq:260.91885	ampl:0.15851346
time:1714865427.60202	freq:293.45428	ampl:0.31356868
time:1714865427.687427	freq:293.0882	ampl:0.33862522
time:1714865427.79409	freq:293.25864	ampl:0.3133107
time:1714865427.879323	freq:293.0058	ampl:0.25551942
time:1714865427.98649	freq:293.04434	ampl:0.2388812
time:1714865428.071433	freq:293.5964	ampl:0.24138889
time:1714865428.1567988	freq:310.37585	ampl:0.27390677
time:1714865428.263654	freq:310.48697	ampl:0.21395536
time:1714865428.348633	freq:311.11194	ampl:0.20236745
time:1714865428.4342752	freq:310.39877	ampl:0.18974425
time:1714865428.5408921	freq:310.3499	ampl:0.27007452
time:1714865428.626194	freq:348.7647	ampl:0.33036026
time:1714865428.711619	freq:348.34253	ampl:0.19704999
time:1714865428.818218	freq:348.68857	ampl:0.12612614
time:1714865428.903595	freq:347.71985	ampl:0.14681832
time:1714865428.988733	freq:390.98602	ampl:0.59274423
time:1714865429.095499	freq:390.07407	ampl:0.62450975
time:1714865429.180674	freq:390.18658	ampl:0.29852
time:1714865429.26623	freq:391.2216	ampl:0.20392717
time:1714865429.372991	freq:391.44452	ampl:0.181092
time:1714865429.458108	freq:411.96173	ampl:0.4458547
time:1714865429.564754	freq:413.5477	ampl:0.26991513
time:1714865429.650186	freq:414.5061	ampl:0.20965219
time:1714865429.7356849	freq:414.5503	ampl:0.122638345
time:1714865429.842153	freq:165.50694	ampl:0.16967842
time:1714865429.927674	freq:494.1915	ampl:0.24966261
time:1714865430.012965	freq:493.60977	ampl:0.1704784
time:1714865430.1197	freq:490.59613	ampl:0.102470614
time:1714865430.2048159	freq:493.77283	ampl:0.074165
time:1714865430.290312	freq:519.74506	ampl:0.1388994
time:1714865430.39678	freq:518.60834	ampl:0.18875602
time:1714865430.482379	freq:522.00946	ampl:0.18450274
time:1714865430.567487	freq:522.00604	ampl:0.13776284
time:1714865430.6741939	freq:522.57196	ampl:0.11115992
time:1714865430.759366	freq:522.68616	ampl:0.17257138
time:1714865430.8448138	freq:464.2561	ampl:0.32533184
time:1714865430.951432	freq:464.49472	ampl:0.31665814
time:1714865431.036505	freq:464.506	ampl:0.28520757
time:1714865431.1432838	freq:464.3734	ampl:0.2787971
time:1714865431.228898	freq:464.1183	ampl:0.27858117
time:1714865431.313963	freq:411.94336	ampl:0.36748293
time:1714865431.4208012	freq:413.69724	ampl:0.19665627
time:1714865431.50599	freq:414.07303	ampl:0.14925806
time:1714865431.591497	freq:413.5978	ampl:0.112996385
time:1714865431.697963	freq:391.5826	ampl:0.40598214
time:1714865431.783227	freq:390.62833	ampl:0.35287502
time:1714865431.8688889	freq:390.06793	ampl:0.21699779
time:1714865431.975411	freq:390.69308	ampl:0.11866043
time:1714865432.0607982	freq:386.06592	ampl:0.21228538
time:1714865432.14601	freq:349.11322	ampl:0.28343096
time:1714865432.253243	freq:348.26096	ampl:0.17125735
time:1714865432.3385072	freq:348.72336	ampl:0.1108337
time:1714865432.421616	freq:348.97604	ampl:0.081692904
time:1714865432.530263	freq:619.2945	ampl:0.1868363
time:1714865432.615421	freq:311.025	ampl:0.20642118
time:1714865432.721909	freq:310.7341	ampl:0.1708907
time:1714865432.80756	freq:310.1992	ampl:0.14832295
time:1714865432.892785	freq:311.51547	ampl:0.15155132
time:1714865432.999646	freq:293.56607	ampl:0.19301628
time:1714865433.084951	freq:293.06604	ampl:0.21839961
time:1714865433.170144	freq:293.15823	ampl:0.20471828
time:1714865433.276602	freq:293.0852	ampl:0.16689464
time:1714865433.362153	freq:292.88803	ampl:0.16245432
time:1714865433.447252	freq:292.8381	ampl:0.20323782
time:1714865433.5542378	freq:260.782	ampl:0.24272965
time:1714865433.639307	freq:260.7735	ampl:0.21683984
time:1714865433.7249699	freq:260.75235	ampl:0.2035873
time:1714865433.831378	freq:260.65237	ampl:0.16977234
time:1714865433.9166222	freq:260.696	ampl:0.1640614
time:1714865434.023477	freq:260.63965	ampl:0.1500689
time:1714865434.108659	freq:260.7037	ampl:0.13284692
time:1714865434.194199	freq:260.66376	ampl:0.13476439
time:1714865434.300724	freq:261.26147	ampl:0.1121412
time:1714865434.3860579	freq:263.8423	ampl:0.116154134
