config:	0.033	0.3265833556652069
time:1714617846.797121	freq:24.884668	ampl:0.092182204
time:1714617846.903697	freq:131.30122	ampl:0.6045164
time:1714617846.9889998	freq:130.6116	ampl:0.66929173
time:1714617847.074315	freq:130.7981	ampl:0.6183114
time:1714617847.180944	freq:260.8716	ampl:0.63109505
time:1714617847.266619	freq:146.64108	ampl:0.6147238
time:1714617847.3519611	freq:146.40454	ampl:0.49098736
time:1714617847.458399	freq:146.26236	ampl:0.40823278
time:1714617847.5436912	freq:164.17389	ampl:0.4143103
time:1714617847.628986	freq:164.05992	ampl:0.36230645
time:1714617847.73595	freq:349.44577	ampl:0.43947077
time:1714617847.820859	freq:174.59053	ampl:0.5131912
time:1714617847.906611	freq:173.74957	ampl:0.36132127
time:1714617848.013272	freq:174.68481	ampl:0.37963685
time:1714617848.098315	freq:195.84897	ampl:0.5174083
time:1714617848.205121	freq:195.30069	ampl:0.50952744
time:1714617848.290452	freq:194.96898	ampl:0.4888976
time:1714617848.375836	freq:219.34251	ampl:0.67747235
time:1714617848.482463	freq:219.48993	ampl:0.5695925
time:1714617848.567676	freq:219.37437	ampl:0.4581296
time:1714617848.65323	freq:222.6964	ampl:0.38982874
time:1714617848.7598429	freq:246.68527	ampl:0.21871944
time:1714617848.844994	freq:247.0616	ampl:0.29326236
time:1714617848.930326	freq:262.50555	ampl:0.48144087
time:1714617849.0370479	freq:261.03665	ampl:0.40070516
time:1714617849.122325	freq:260.9975	ampl:0.32549363
time:1714617849.208247	freq:292.40768	ampl:0.41731837
time:1714617849.3142118	freq:292.97913	ampl:0.39042535
time:1714617849.3996959	freq:293.4177	ampl:0.36478955
time:1714617849.485256	freq:293.29694	ampl:0.279122
time:1714617849.591735	freq:328.61713	ampl:0.23697795
time:1714617849.677006	freq:328.42584	ampl:0.44413525
time:1714617849.783566	freq:348.07974	ampl:0.4581743
time:1714617849.868874	freq:348.14563	ampl:0.34457114
time:1714617849.9542332	freq:392.1483	ampl:0.66846687
time:1714617850.06113	freq:390.97128	ampl:0.5127028
time:1714617850.1462688	freq:391.56952	ampl:0.16174468
time:1714617850.231627	freq:436.4785	ampl:0.43760717
time:1714617850.338131	freq:438.96573	ampl:0.6543754
time:1714617850.423816	freq:438.1815	ampl:0.5735254
time:1714617850.509023	freq:438.7512	ampl:0.5624487
time:1714617850.615631	freq:493.8622	ampl:0.3771832
time:1714617850.700974	freq:493.43573	ampl:0.2296418
time:1714617850.786299	freq:497.7448	ampl:0.20820096
time:1714617850.893015	freq:522.94305	ampl:0.2609563
time:1714617850.977617	freq:523.34845	ampl:0.22090194
time:1714617851.0638452	freq:581.7576	ampl:0.44135392
time:1714617851.1704369	freq:590.07416	ampl:0.30517912
time:1714617851.255563	freq:586.45905	ampl:0.41354206
time:1714617851.362437	freq:656.42816	ampl:0.8386101
time:1714617851.447524	freq:657.1985	ampl:0.63888174
time:1714617851.532841	freq:657.6081	ampl:0.443235
time:1714617851.639882	freq:697.4648	ampl:0.6358999
time:1714617851.724815	freq:694.738	ampl:0.5272177
time:1714617851.8102221	freq:697.69183	ampl:0.40386978
time:1714617851.916977	freq:782.86005	ampl:0.48842758
time:1714617852.002163	freq:783.00104	ampl:0.50269216
time:1714617852.087888	freq:783.3839	ampl:0.35289022
time:1714617852.1942549	freq:878.156	ampl:0.38871443
time:1714617852.279568	freq:879.9156	ampl:0.26775828
time:1714617852.365022	freq:987.1786	ampl:0.54850686
time:1714617852.471587	freq:989.0579	ampl:0.73663205
time:1714617852.556971	freq:987.61115	ampl:0.4310993
time:1714617852.642503	freq:987.85406	ampl:0.28243068
time:1714617852.7490811	freq:1046.459	ampl:0.17369504
time:1714617852.834616	freq:1047.316	ampl:0.1177116
time:1714617852.940773	freq:1171.3054	ampl:0.24977359
time:1714617853.026157	freq:1174.6754	ampl:0.24099717
time:1714617853.112019	freq:1174.2415	ampl:0.18994285
time:1714617853.218402	freq:1320.7517	ampl:0.27608162
time:1714617853.3036752	freq:1315.5828	ampl:0.2255598
time:1714617853.389248	freq:1317.2408	ampl:0.100312
time:1714617853.495792	freq:197.6823	ampl:0.11144392
time:1714617853.581403	freq:92.529	ampl:0.07704095
time:1714617853.666637	freq:1566.9132	ampl:0.10510483
time:1714617853.7730799	freq:1570.1642	ampl:0.19489829
time:1714617853.858428	freq:1569.9521	ampl:0.1376483
time:1714617853.9436622	freq:1571.3993	ampl:0.12064317
time:1714617854.050654	freq:1759.0273	ampl:0.20280021
time:1714617854.135699	freq:223.93204	ampl:0.1124213
time:1714617854.220958	freq:1758.6272	ampl:0.18172522
time:1714617854.327611	freq:181.69115	ampl:0.15277104
time:1714617854.413072	freq:1982.8376	ampl:0.08379534
time:1714617854.519619	freq:1976.5813	ampl:0.2151496
time:1714617854.605071	freq:2090.5732	ampl:0.17040849
time:1714617854.690233	freq:523.48773	ampl:0.0910291
time:1714617854.797102	freq:2091.237	ampl:0.20542888
time:1714617854.8823829	freq:130.62729	ampl:0.12938493
time:1714617854.967735	freq:1973.8492	ampl:0.10374577
time:1714617855.074328	freq:1760.2585	ampl:0.25678232
time:1714617855.159844	freq:196.87964	ampl:0.13413459
time:1714617855.2450461	freq:1758.9784	ampl:0.11466148
time:1714617855.351551	freq:1571.6411	ampl:0.20299429
time:1714617855.436903	freq:1570.7859	ampl:0.17241183
time:1714617855.522588	freq:1570.1953	ampl:0.10817708
time:1714617855.6290421	freq:1397.7661	ampl:0.16789152
time:1714617855.714075	freq:1398.4529	ampl:0.117932044
time:1714617855.821022	freq:1571.5312	ampl:0.108744115
time:1714617855.906275	freq:1318.947	ampl:0.23750517
time:1714617855.9915981	freq:1316.4872	ampl:0.1785798
time:1714617856.0985131	freq:1317.2036	ampl:0.108155414
time:1714617856.183402	freq:1175.3608	ampl:0.21200344
time:1714617856.268924	freq:1175.0312	ampl:0.19132227
time:1714617856.375659	freq:1174.1968	ampl:0.17184803
time:1714617856.4610481	freq:523.76587	ampl:0.16619188
time:1714617856.546478	freq:523.70514	ampl:0.10710105
time:1714617856.65277	freq:985.185	ampl:0.29278618
time:1714617856.738133	freq:985.9376	ampl:0.60858995
time:1714617856.823322	freq:987.32074	ampl:0.43349454
time:1714617856.93015	freq:988.8139	ampl:0.30794913
time:1714617857.015616	freq:879.24994	ampl:0.31112912
time:1714617857.100929	freq:880.5779	ampl:0.18488364
time:1714617857.207683	freq:782.88074	ampl:0.42491323
time:1714617857.292783	freq:782.9894	ampl:0.59868264
time:1714617857.39995	freq:783.19037	ampl:0.4583011
time:1714617857.4848971	freq:697.24554	ampl:0.61668426
time:1714617857.5701032	freq:697.3911	ampl:0.59991753
time:1714617857.676729	freq:698.131	ampl:0.4771794
time:1714617857.762048	freq:656.4984	ampl:0.7798013
time:1714617857.8476582	freq:657.3521	ampl:0.53859174
time:1714617857.9545832	freq:659.1942	ampl:0.3496877
time:1714617858.039398	freq:657.615	ampl:0.30518475
time:1714617858.124798	freq:587.9308	ampl:0.33144003
time:1714617858.231545	freq:586.53357	ampl:0.39145756
time:1714617858.316949	freq:585.68604	ampl:0.28532508
time:1714617858.401991	freq:522.33417	ampl:0.2484079
time:1714617858.508987	freq:521.89264	ampl:0.24555366
time:1714617858.594517	freq:493.15778	ampl:0.42930177
time:1714617858.6795712	freq:494.59647	ampl:0.2602517
time:1714617858.786258	freq:493.2983	ampl:0.31005207
time:1714617858.871253	freq:438.7155	ampl:0.6689326
time:1714617858.9779658	freq:438.6963	ampl:0.61572516
time:1714617859.063325	freq:438.52896	ampl:0.6776003
time:1714617859.148642	freq:390.41095	ampl:0.7371855
time:1714617859.25565	freq:438.18143	ampl:0.4329154
time:1714617859.340613	freq:87.61524	ampl:0.50105447
time:1714617859.4260988	freq:348.87552	ampl:0.42809716
time:1714617859.532775	freq:347.83432	ampl:0.30448082
time:1714617859.618041	freq:342.8849	ampl:0.35179216
time:1714617859.703393	freq:328.2169	ampl:0.24122865
time:1714617859.810166	freq:328.59116	ampl:0.23810945
time:1714617859.8956199	freq:328.48428	ampl:0.353611
time:1714617859.980623	freq:292.5183	ampl:0.4765842
