config:	0.12886831164360046	0.30120810866355896
time:1715233433.98049	freq:253.60269	ampl:0.20716973
time:1715233434.0650802	freq:130.85754	ampl:0.58062786
time:1715233434.171865	freq:130.45456	ampl:0.50723845
time:1715233434.25731	freq:130.68372	ampl:0.44205305
time:1715233434.364115	freq:261.55743	ampl:0.4111635
time:1715233434.449235	freq:145.3265	ampl:0.6210984
time:1715233434.534556	freq:145.8942	ampl:0.4719444
time:1715233434.6413522	freq:146.28546	ampl:0.43068033
time:1715233434.726629	freq:146.69489	ampl:0.2830958
time:1715233434.8120189	freq:309.71548	ampl:0.19935392
time:1715233434.918507	freq:154.79202	ampl:0.15843941
time:1715233435.003742	freq:155.64616	ampl:0.15575369
time:1715233435.08915	freq:175.07063	ampl:0.33130467
time:1715233435.1955981	freq:174.20598	ampl:0.24598087
time:1715233435.281075	freq:173.49718	ampl:0.24756557
time:1715233435.366463	freq:173.73734	ampl:0.29667974
time:1715233435.473133	freq:195.92491	ampl:0.45407015
time:1715233435.558446	freq:194.94649	ampl:0.43754262
time:1715233435.665102	freq:194.7193	ampl:0.3816925
time:1715233435.7505522	freq:195.07573	ampl:0.47398126
time:1715233435.835836	freq:219.32674	ampl:0.5909108
time:1715233435.942387	freq:219.35469	ampl:0.46668684
time:1715233436.027676	freq:219.54828	ampl:0.33709422
time:1715233436.113178	freq:219.81345	ampl:0.3359671
time:1715233436.2185001	freq:246.43391	ampl:0.28961402
time:1715233436.305275	freq:246.05681	ampl:0.25639805
time:1715233436.390686	freq:246.151	ampl:0.2541837
time:1715233436.4970632	freq:261.15714	ampl:0.60299015
time:1715233436.582427	freq:260.52707	ampl:0.46964228
time:1715233436.66768	freq:260.76978	ampl:0.3712229
time:1715233436.774576	freq:261.23996	ampl:0.4364318
time:1715233436.8596349	freq:292.7657	ampl:0.5312648
time:1715233436.944973	freq:292.956	ampl:0.4733842
time:1715233437.0518088	freq:292.63055	ampl:0.48496148
time:1715233437.137038	freq:309.86487	ampl:0.49620214
time:1715233437.243669	freq:309.67023	ampl:0.42596814
time:1715233437.328929	freq:310.02066	ampl:0.3971758
time:1715233437.41462	freq:310.5921	ampl:0.2975135
time:1715233437.52125	freq:349.1297	ampl:0.13967323
time:1715233437.691612	freq:390.1571	ampl:0.55477434
time:1715233437.7985349	freq:390.3987	ampl:0.5717032
time:1715233437.883805	freq:391.0106	ampl:0.44864824
time:1715233437.969096	freq:389.9704	ampl:0.32379553
time:1715233438.075872	freq:438.48752	ampl:0.51991665
time:1715233438.16097	freq:438.47562	ampl:0.4833807
time:1715233438.246372	freq:438.4461	ampl:0.39648214
time:1715233438.353051	freq:439.0521	ampl:0.38198596
time:1715233438.438664	freq:493.5435	ampl:0.264651
time:1715233438.524075	freq:492.05566	ampl:0.13043886
time:1715233438.630618	freq:520.843	ampl:0.14507261
time:1715233438.715596	freq:519.66223	ampl:0.2629842
time:1715233438.822398	freq:521.63043	ampl:0.21725525
time:1715233438.907769	freq:521.7014	ampl:0.18156551
time:1715233438.9932342	freq:581.6544	ampl:0.3076804
time:1715233439.099732	freq:586.7659	ampl:0.19170699
time:1715233439.1850371	freq:586.16876	ampl:0.24052769
time:1715233439.2703528	freq:622.0605	ampl:0.43502524
time:1715233439.377215	freq:619.77203	ampl:0.31839123
time:1715233439.462678	freq:621.61993	ampl:0.20740041
time:1715233439.5477371	freq:618.20624	ampl:0.17690213
time:1715233439.654561	freq:699.15015	ampl:0.27657726
time:1715233439.739717	freq:697.9152	ampl:0.22298846
time:1715233439.8250542	freq:697.5757	ampl:0.20280465
time:1715233439.93182	freq:777.37964	ampl:0.3700002
time:1715233440.014539	freq:783.1183	ampl:0.3746424
time:1715233440.102519	freq:783.45905	ampl:0.27077594
time:1715233440.2091908	freq:783.0771	ampl:0.271263
time:1715233440.2944942	freq:878.674	ampl:0.28353304
time:1715233440.400984	freq:879.7781	ampl:0.19138815
time:1715233440.486525	freq:97.8933	ampl:0.13909915
time:1715233440.5718842	freq:985.61755	ampl:0.48486775
time:1715233440.678341	freq:989.189	ampl:0.41942847
time:1715233440.763638	freq:987.4362	ampl:0.28147966
time:1715233440.849138	freq:987.265	ampl:0.20407894
time:1715233440.955961	freq:1063.8732	ampl:0.23762327
time:1715233441.041223	freq:1045.4061	ampl:0.13502304
time:1715233441.1266708	freq:1044.222	ampl:0.15273051
time:1715233441.233397	freq:930.37683	ampl:0.43080366
time:1715233441.318506	freq:928.93335	ampl:0.30845022
time:1715233441.40383	freq:928.3109	ampl:0.19187932
time:1715233441.510634	freq:820.23987	ampl:0.24647874
time:1715233441.59579	freq:827.8264	ampl:0.2114342
time:1715233441.680985	freq:828.68353	ampl:0.14441822
time:1715233441.7879071	freq:785.0681	ampl:0.2645397
time:1715233441.872981	freq:783.0768	ampl:0.3799521
time:1715233441.9797301	freq:779.6297	ampl:0.3207787
time:1715233442.065359	freq:782.9612	ampl:0.27441463
time:1715233442.150356	freq:698.9791	ampl:0.36088356
time:1715233442.2570329	freq:697.5303	ampl:0.3138751
time:1715233442.342278	freq:697.48004	ampl:0.25967082
time:1715233442.427875	freq:624.02686	ampl:0.48224247
time:1715233442.534463	freq:619.78784	ampl:0.26755422
time:1715233442.619588	freq:623.4751	ampl:0.22983491
time:1715233442.7051558	freq:606.5152	ampl:0.25673068
time:1715233442.811938	freq:582.3246	ampl:0.28468448
time:1715233442.897228	freq:586.56274	ampl:0.22355856
time:1715233442.982487	freq:585.2994	ampl:0.2578326
time:1715233443.0889668	freq:586.14844	ampl:0.2571893
time:1715233443.174397	freq:521.32513	ampl:0.22756536
time:1715233443.2809792	freq:521.246	ampl:0.18920869
time:1715233443.366435	freq:519.3829	ampl:0.28923932
time:1715233443.452008	freq:465.2645	ampl:0.40084454
