config:	0.0588514618575573	0.17760148644447327
time:1714865308.479449	freq:265.19373	ampl:0.09205922
time:1714865308.5646648	freq:260.99023	ampl:0.15676303
time:1714865308.649787	freq:260.66428	ampl:0.14790729
time:1714865308.7569919	freq:260.73956	ampl:0.1507093
time:1714865308.841745	freq:260.7133	ampl:0.12599736
time:1714865308.9486089	freq:260.69794	ampl:0.12783247
time:1714865309.033947	freq:294.09744	ampl:0.23431389
time:1714865309.1192698	freq:292.82645	ampl:0.28957027
time:1714865309.225981	freq:292.99075	ampl:0.23803627
time:1714865309.3114228	freq:293.02878	ampl:0.21895413
time:1714865309.396515	freq:293.64667	ampl:0.19685987
time:1714865309.503364	freq:310.14496	ampl:0.2557388
time:1714865309.58877	freq:310.97	ampl:0.20846026
time:1714865309.673654	freq:310.5516	ampl:0.1936679
time:1714865309.7808418	freq:310.1227	ampl:0.17947188
time:1714865309.8658838	freq:309.82303	ampl:0.19973724
time:1714865309.9512892	freq:348.73123	ampl:0.29579714
time:1714865310.058042	freq:348.6472	ampl:0.17515436
time:1714865310.143287	freq:348.15005	ampl:0.10970792
time:1714865310.229082	freq:349.20877	ampl:0.091830015
time:1714865310.335089	freq:391.04367	ampl:0.42148113
time:1714865310.420604	freq:389.901	ampl:0.55311316
time:1714865310.527266	freq:389.9947	ampl:0.2831025
time:1714865310.6125522	freq:390.48093	ampl:0.18646069
time:1714865310.698091	freq:391.75534	ampl:0.1266359
time:1714865310.804469	freq:438.75555	ampl:0.33413482
time:1714865310.889801	freq:438.33627	ampl:0.3728316
time:1714865310.975096	freq:439.0999	ampl:0.3561493
time:1714865311.081743	freq:438.6804	ampl:0.29745445
time:1714865311.167153	freq:438.26865	ampl:0.27077547
time:1714865311.252785	freq:493.27313	ampl:0.2904861
time:1714865311.359333	freq:493.40317	ampl:0.18762767
time:1714865311.4445748	freq:491.23477	ampl:0.09667011
time:1714865311.53003	freq:492.79303	ampl:0.062104825
time:1714865311.636704	freq:519.8927	ampl:0.16412136
time:1714865311.7221441	freq:518.577	ampl:0.23651941
time:1714865311.807485	freq:522.05707	ampl:0.22493835
time:1714865311.913856	freq:521.797	ampl:0.16596927
time:1714865311.999124	freq:522.77057	ampl:0.13244589
time:1714865312.105623	freq:522.5337	ampl:0.110083036
time:1714865312.191423	freq:522.7581	ampl:0.13700527
time:1714865312.276443	freq:463.9251	ampl:0.3173983
time:1714865312.383121	freq:464.61853	ampl:0.316669
time:1714865312.468507	freq:464.3244	ampl:0.31237945
time:1714865312.553638	freq:464.40414	ampl:0.29451615
time:1714865312.660462	freq:464.39523	ampl:0.25156012
time:1714865312.745819	freq:436.67905	ampl:0.3297251
time:1714865312.831064	freq:438.4697	ampl:0.47717357
time:1714865312.937592	freq:438.8665	ampl:0.4390911
time:1714865313.023644	freq:438.09933	ampl:0.36340284
time:1714865313.108708	freq:438.79535	ampl:0.34364232
time:1714865313.215471	freq:438.6023	ampl:0.30627152
time:1714865313.300504	freq:390.12347	ampl:0.5523762
time:1714865313.386014	freq:390.4204	ampl:0.38311568
time:1714865313.492635	freq:390.09512	ampl:0.23374304
time:1714865313.57774	freq:391.2133	ampl:0.13557994
time:1714865313.684519	freq:349.19232	ampl:0.22581315
time:1714865313.76984	freq:348.9021	ampl:0.2714525
time:1714865313.8549461	freq:348.2551	ampl:0.15509838
time:1714865313.961828	freq:348.2297	ampl:0.10943651
time:1714865314.047099	freq:351.51782	ampl:0.12903856
time:1714865314.1325321	freq:309.77792	ampl:0.23816155
time:1714865314.239027	freq:310.61584	ampl:0.1976435
time:1714865314.324398	freq:310.49945	ampl:0.1673081
time:1714865314.409711	freq:310.30444	ampl:0.15582976
time:1714865314.5163832	freq:292.75922	ampl:0.19395253
time:1714865314.6018271	freq:292.83548	ampl:0.24846463
time:1714865314.68707	freq:293.13992	ampl:0.20933716
time:1714865314.7938108	freq:293.13565	ampl:0.19994192
time:1714865314.879075	freq:293.0264	ampl:0.17647906
time:1714865314.9856381	freq:260.22778	ampl:0.1904233
time:1714865315.071562	freq:260.5424	ampl:0.18641533
time:1714865315.1563768	freq:260.68228	ampl:0.16189194
time:1714865315.262938	freq:260.5823	ampl:0.15499392
time:1714865315.348269	freq:260.71997	ampl:0.1460865
time:1714865315.433747	freq:260.91653	ampl:0.12079331
time:1714865315.54046	freq:260.67618	ampl:0.12243696
time:1714865315.625624	freq:260.65045	ampl:0.10180109
time:1714865315.7110848	freq:260.5713	ampl:0.098526396
time:1714865315.817874	freq:261.53973	ampl:0.097399615
time:1714865315.9031348	freq:32.71717	ampl:0.07192591
