config:	0.0588514618575573	0.17760148644447327
time:1714865141.037527	freq:531.72736	ampl:0.06031666
time:1714865141.143832	freq:260.97665	ampl:0.22944099
time:1714865141.229315	freq:260.6272	ampl:0.23271362
time:1714865141.314505	freq:260.72287	ampl:0.21448767
time:1714865141.421023	freq:260.68893	ampl:0.21299793
time:1714865141.506685	freq:261.3614	ampl:0.22326422
time:1714865141.591711	freq:292.88895	ampl:0.3423309
time:1714865141.698529	freq:293.2488	ampl:0.32000056
time:1714865141.784261	freq:292.9162	ampl:0.27090678
time:1714865141.869437	freq:293.82224	ampl:0.29293513
time:1714865141.976176	freq:310.4456	ampl:0.30422577
time:1714865142.0613952	freq:310.3837	ampl:0.2509585
time:1714865142.146451	freq:310.34106	ampl:0.22155057
time:1714865142.253196	freq:310.94873	ampl:0.3475787
time:1714865142.338556	freq:349.40265	ampl:0.30011562
time:1714865142.445156	freq:348.7505	ampl:0.1891904
time:1714865142.5305681	freq:348.63943	ampl:0.14583868
time:1714865142.615809	freq:390.60727	ampl:0.51981944
time:1714865142.722451	freq:390.52768	ampl:0.57136935
time:1714865142.80775	freq:390.3233	ampl:0.35571846
time:1714865142.893774	freq:390.7789	ampl:0.19799536
time:1714865143.000484	freq:438.15094	ampl:0.35868594
time:1714865143.0850801	freq:438.7878	ampl:0.41287896
time:1714865143.170555	freq:438.25507	ampl:0.34250805
time:1714865143.277194	freq:438.83258	ampl:0.32569268
time:1714865143.3624601	freq:494.19247	ampl:0.30101138
time:1714865143.447805	freq:493.42734	ampl:0.18410562
time:1714865143.5547209	freq:490.86618	ampl:0.10936387
time:1714865143.6401381	freq:511.84537	ampl:0.14821552
time:1714865143.725173	freq:518.50354	ampl:0.23604186
time:1714865143.8317142	freq:522.1074	ampl:0.23144974
time:1714865143.917151	freq:522.84265	ampl:0.18377845
time:1714865144.023902	freq:464.45126	ampl:0.27845812
time:1714865144.109159	freq:464.30276	ampl:0.4202538
time:1714865144.194521	freq:464.40005	ampl:0.40694717
time:1714865144.301035	freq:464.54492	ampl:0.3537449
time:1714865144.386396	freq:412.31073	ampl:0.4674684
time:1714865144.471664	freq:412.66354	ampl:0.47655907
time:1714865144.578552	freq:413.93597	ampl:0.25188977
time:1714865144.663949	freq:414.14624	ampl:0.18550129
time:1714865144.748961	freq:389.9336	ampl:0.52486765
time:1714865144.85589	freq:391.5168	ampl:0.5384385
time:1714865144.941143	freq:390.49612	ampl:0.26761696
time:1714865145.026721	freq:389.59958	ampl:0.19638458
time:1714865145.133105	freq:349.17133	ampl:0.34112993
time:1714865145.218622	freq:349.18567	ampl:0.21929096
time:1714865145.303804	freq:347.99643	ampl:0.14906926
time:1714865145.4108748	freq:349.5107	ampl:0.15730123
time:1714865145.49598	freq:310.12378	ampl:0.28341377
time:1714865145.6027021	freq:310.6806	ampl:0.22421835
time:1714865145.687933	freq:310.61893	ampl:0.20770304
time:1714865145.7727861	freq:312.81754	ampl:0.19547984
time:1714865145.87975	freq:292.70544	ampl:0.25163922
time:1714865145.965312	freq:293.36627	ampl:0.24345669
time:1714865146.050603	freq:292.9633	ampl:0.20095624
time:1714865146.157695	freq:293.09424	ampl:0.18527071
time:1714865146.242412	freq:261.814	ampl:0.22766653
time:1714865146.328349	freq:260.6011	ampl:0.23889779
time:1714865146.4343328	freq:260.63593	ampl:0.21008576
time:1714865146.51965	freq:260.61838	ampl:0.19889759
time:1714865146.605188	freq:260.74426	ampl:0.19279346
time:1714865146.711674	freq:260.83746	ampl:0.15887448
time:1714865146.797422	freq:260.69287	ampl:0.1637966
time:1714865146.88258	freq:260.64462	ampl:0.13825963
time:1714865146.989132	freq:260.58453	ampl:0.13300255
time:1714865147.0744781	freq:260.70996	ampl:0.12526508
time:1714865147.181134	freq:260.76965	ampl:0.10964318
time:1714865147.266628	freq:260.6481	ampl:0.116613135
time:1714865147.351929	freq:262.00702	ampl:0.10428766
time:1714865147.458637	freq:130.28252	ampl:0.08423849
